word,definition
"abortion","the deliberate ending of a pregnancy at an early stage"
"abandon","to leave somebody, especially somebody you are responsible for, with no intention of returning"
"ability","the fact that somebody/something is able to do something"
"able","having the skill, intelligence, opportunity, etc. needed to do something"
"above","at or to a higher place or position than something/somebody"
"abroad","in or to a foreign country"
"about","on the subject of somebody/something; in connection with somebody/something"
"a","used before countable or singular nouns referring to people or things that have not already been mentioned"
"absolutely","used to emphasize that something is completely true"
"abuse","the use of something in a way that is wrong or harmful"
"absolute","total and complete"
"academic","connected with education, especially studying in schools and universities"
"absorb","to take in a liquid, gas or other substance from the surface or space around"
"accept","to take willingly something that is offered; to say ‘yes’ to an offer, invitation, etc."
"access","the opportunity or right to use something or to see somebody/something"
"accompany","to travel or go somewhere with somebody/something"
"absence","the fact of somebody being away from a place where they are usually expected to be; the occasion or period of time when somebody is away"
"account","an arrangement that somebody has with a bank, etc. to keep money there, take some out, etc."
"accurate","correct and true in every detail"
"accomplish","to succeed in doing or completing something"
"accuse","to say that somebody has done something wrong or is guilty of something"
"according","to give somebody/something authority, status or a particular type of treatment"
"act","to do something for a particular purpose or in order to deal with a situation"
"achieve","to succeed in reaching a particular goal, status or standard, especially by making an effort for a long time"
"acknowledge","to accept that something is true"
"action","the process of doing something in order to make something happen or to deal with a situation"
"active","always busy doing things, especially physical activities"
"acquire","to gain something by your own efforts, ability or behaviour"
"actually","used in speaking to emphasize a fact or a comment, or that something is really true"
"actor","a person who performs on the stage, on television or in films, especially as a profession"
"adjust","to change something slightly to make it more suitable for a new set of conditions or to make it work better"
"adapt","to change your behaviour in order to deal more successfully with a new situation"
"actress","a woman who performs on the stage, on television or in films, especially as a profession"
"ad","a notice, picture or film telling people about a product, job or service"
"additional","more than was first mentioned or is usual"
"adopt","to take somebody else’s child into your family and become its legal parent(s)"
"address","details of where somebody lives or works and where letters, etc. can be sent"
"administration","the activities that are done in order to plan, organize and run a business, school or other institution"
"adjustment","a small change made to something in order to correct or improve it"
"admission","the act of accepting somebody into an institution, organization, etc.; the right to enter a place or to join an institution or organization"
"advise","to tell somebody what you think they should do in a particular situation"
"admit","to agree, often unwillingly, that something is true"
"adult","a fully grown person who is legally responsible for their actions"
"advance","progress or a development in a particular activity or area of understanding"
"adventure","an unusual, exciting or dangerous experience, journey or series of events"
"adviser","a person who gives advice, especially somebody who knows a lot about a particular subject"
"advocate","a person who supports or speaks in favour of somebody or of a public plan or action"
"advertising","the activity and industry of advertising things to people on television, in newspapers, on the internet, etc."
"african-american","a person from America who is a member of a group of people who have dark skin and whose ancestors came from Africa"
"afford","to have enough money to be able to buy or do something"
"acid","a chemical, usually a liquid, that contains hydrogen and has a pH of less than seven. The hydrogen can be replaced by a metal to form a salt. Acids usually have a bitter sharp taste and can often burn holes in or damage things they touch."
"afternoon","the period of time from 12 o'clock in the middle of the day until about 6 o’clock in the evening"
"after","later than something; following something in time"
"afraid","feeling fear; frightened because you think that you might be hurt or suffer"
"accident","an unpleasant event, especially in a vehicle, that happens unexpectedly and causes injury or damage"
"agent","a person whose job is to act for, or manage the affairs of, other people in business, politics, etc."
"age","the number of years that a person has lived or a thing has existed"
"activity","a thing that you do for interest or pleasure"
"ago","used in expressions of time with the simple past tense to show how far in the past something happened"
"aggressive","angry, and behaving in a threatening way; ready to attack"
"achievement","a thing that somebody has done successfully, especially using their own effort and skill"
"agency","a business or an organization that provides a particular service especially when representing other businesses or organizations"
"aid","money, food, etc. that is sent to help countries in difficult situations"
"agricultural","connected with the science or practice of farming"
"addition","a thing that is added to something else"
"aids","a serious illness caused by a virus called HIV that attacks the body’s ability to resist infection (the abbreviation for ‘Acquired Immune Deficiency Syndrome’)"
"aide","a person who helps another person, especially a politician, in their job"
"activist","a person who works to achieve political or social change, especially as a member of an organization with particular aims"
"ah","used to express surprise, pleasure or sympathy, or when you disagree with somebody"
"aircraft","any vehicle that can fly and carry goods or passengers"
"album","a book in which you keep photographs, stamps, etc."
"admire","to respect somebody for what they have done or to respect their qualities"
"alive","living; not dead"
"alcohol","drinks such as beer, wine, etc. that can make people drunk"
"add","to put something together with something else so as to increase the size, number, amount, etc."
"airline","a company that provides regular flights to take passengers and goods to different places"
"allow","to let somebody/something do something; to let something happen or be done"
"alone","without any other people"
"already","before now or before a particular time in the past"
"advantage","a thing that helps you to be better or more successful than other people"
"administrator","a person whose job is to manage and organize the public or business affairs of a company or an institution, or a person who works in an office dealing with records, accounts, etc."
"ally","a country that has agreed to help and support another country, especially in case of a war"
"along","from one end to or towards the other end of something"
"alternative","a thing that you can choose to do or have out of two or more possibilities"
"affect","to produce a change in somebody/something"
"advanced","having the most modern and recently developed ideas, methods, etc."
"american","a person from America, especially the US"
"amazing","very surprising, especially in a way that you like or admire"
"although","used for introducing a statement that makes the main statement in a sentence seem surprising"
"analysis","the detailed study or examination of something in order to understand more about it; the result of the study"
"ancient","belonging to a period of history that is thousands of years in the past"
"affair","events that are of public interest or political importance"
"against","opposing or disagreeing with somebody/something"
"anger","the strong feeling that you have when something has happened that you think is bad and unfair"
"across","from one side to the other side of something"
"analyst","a person whose job involves examining facts or materials in order to give an opinion on them"
"and","also; in addition to"
"again","one more time; on another occasion"
"agreement","an arrangement, a promise or a contract made with somebody"
"answer","something that you say, write or do to react to a question or situation"
"actual","used to emphasize something that is real or exists in fact"
"anniversary","a date that is an exact number of years after the date of an important or special event"
"agree","to have the same opinion as somebody; to say that you have the same opinion"
"another","one more; an extra thing or person"
"anyway","used when adding something to support an idea or argument"
"adequate","enough in quantity, or good enough in quality, for a particular purpose or need"
"air","the mixture of gases that surrounds the earth and that we breathe"
"anybody","used instead of somebody in negative sentences and in questions after if/whether, and after verbs such as prevent, forbid, avoid, etc."
"aim","to try or plan to achieve something"
"anything","used instead of something in negative sentences and in questions; after if/whether; and after verbs such as prevent, ban, avoid, etc."
"appearance","the way that somebody/something looks on the outside; what somebody/something seems to be"
"adolescent","a young person who is developing from a child into an adult"
"alliance","an agreement between countries, political parties, etc. to work together in order to achieve something that they all want"
"apparent","easy to see or understand"
"appear","to start to be seen"
"advice","an opinion or a suggestion about what somebody should do in a particular situation"
"appropriate","suitable, acceptable or correct for the particular circumstances"
"alter","to become different; to make somebody/something different"
"all","the whole number of"
"appoint","to choose somebody for a job or position of responsibility"
"approach","a way of dealing with somebody/something; a way of doing or thinking about something such as a problem or a task"
"argument","a conversation or discussion in which two or more people disagree, often angrily"
"african","of or connected with Africa"
"amount","a quantity of something"
"arab","a person from the Middle East or North Africa, whose ancestors lived in the Arabian peninsula"
"also","in addition; too"
"argue","to speak angrily to somebody because you disagree with them"
"agenda","a list of items to be discussed at a meeting"
"arrest","if the police arrest somebody, the person is taken to a police station and kept there because the police believe they may be guilty of a crime"
"angry","having strong feelings about something that you dislike very much or about an unfair situation"
"army","a large organized group of soldiers who are trained to fight on land"
"among","surrounded by somebody/something; in the middle of somebody/something"
"animal","a creature that is not a bird, a fish, a reptile, an insect or a human"
"arrangement","a plan or preparation that you make so that something can happen"
"annual","happening or done once every year"
"asian","a person from Asia, or whose family originally came from Asia"
"ahead","further forward in space or time; in front"
"article","a piece of writing about a particular subject in a newspaper or magazine, on a website, etc."
"anxiety","the state of feeling nervous or worried that something bad is going to happen"
"angle","the space between two lines or surfaces that join, measured in degrees"
"anyone","used instead of someone in negative sentences and in questions after if/whether, and after verbs such as prevent, forbid, avoid, etc."
"any","used with uncountable or plural nouns in negative sentences and questions, after if or whether, and after some verbs such as prevent, ban, forbid, etc. to refer to an amount or a number of something, however large or small"
"assessment","an opinion or a judgement about somebody/something that has been thought about very carefully"
"airport","a place where planes land and take off and that has buildings for passengers to wait in"
"aspect","a particular part or feature of a situation, an idea, a problem, etc.; a way in which it may be considered"
"as","used to describe somebody/something appearing to be somebody/something else"
"apart","separated by a distance, of space or time"
"anticipate","to expect something"
