word,definition
"ability","the fact that somebody/something is able to do something"
"abroad","in or to a foreign country"
"abortion","the deliberate ending of a pregnancy at an early stage"
"able","having the skill, intelligence, opportunity, etc. needed to do something"
"above","at or to a higher place or position than something/somebody"
"about","on the subject of somebody/something; in connection with somebody/something"
"abandon","to leave somebody, especially somebody you are responsible for, with no intention of returning"
"a","used before countable or singular nouns referring to people or things that have not already been mentioned"
"absorb","to take in a liquid, gas or other substance from the surface or space around"
"accept","to take willingly something that is offered; to say ‘yes’ to an offer, invitation, etc."
"abuse","the use of something in a way that is wrong or harmful"
"academic","connected with education, especially studying in schools and universities"
"absence","the fact of somebody being away from a place where they are usually expected to be; the occasion or period of time when somebody is away"
"accurate","correct and true in every detail"
"accuse","to say that somebody has done something wrong or is guilty of something"
"according","to give somebody/something authority, status or a particular type of treatment"
"absolute","total and complete"
"accident","an unpleasant event, especially in a vehicle, that happens unexpectedly and causes injury or damage"
"act","to do something for a particular purpose or in order to deal with a situation"
"achievement","a thing that somebody has done successfully, especially using their own effort and skill"
"actually","used in speaking to emphasize a fact or a comment, or that something is really true"
"accompany","to travel or go somewhere with somebody/something"
"acid","a chemical, usually a liquid, that contains hydrogen and has a pH of less than seven. The hydrogen can be replaced by a metal to form a salt.  usually have a bitter sharp taste and can often burn holes in or damage things they touch."
"adjust","to change something slightly to make it more suitable for a new set of conditions or to make it work better"
"absolutely","used to emphasize that something is completely true"
"access","the opportunity or right to use something or to see somebody/something"
"activity","a thing that you do for interest or pleasure"
"adopt","to take somebody else’s child into your family and become its legal parent(s)"
"accomplish","to succeed in doing or completing something"
"achieve","to succeed in reaching a particular goal, status or standard, especially by making an effort for a long time"
"addition","a thing that is added to something else"
"active","always busy doing things, especially physical activities"
"acknowledge","to accept that something is true"
"advise","to tell somebody what you think they should do in a particular situation"
"account","an arrangement that somebody has with a bank, etc. to keep money there, take some out, etc."
"admire","to respect somebody for what they have done or to respect their qualities"
"actor","a person who performs on the stage, on television or in films, especially as a profession"
"adapt","to change your behaviour in order to deal more successfully with a new situation"
"acquire","to gain something by your own efforts, ability or behaviour"
"across","from one side to the other side of something"
"advantage","a thing that helps you to be better or more successful than other people"
"action","the process of doing something in order to make something happen or to deal with a situation"
"additional","more than was first mentioned or is usual"
"actress","a woman who performs on the stage, on television or in films, especially as a profession"
"actual","used to emphasize something that is real or exists in fact"
"affect","to produce a change in somebody/something"
"ad","a notice, picture or film telling people about a product, job or service"
"administration","the activities that are done in order to plan, organize and run a business, school or other institution"
"admission","the act of accepting somebody into an institution, organization, etc.; the right to enter a place or to join an institution or organization"
"activist","a person who works to achieve political or social change, especially as a member of an organization with particular aims"
"address","details of where somebody lives or works and where letters, etc. can be sent"
"adequate","enough in quantity, or good enough in quality, for a particular purpose or need"
"against","opposing or disagreeing with somebody/something"
"adjustment","a small change made to something in order to correct or improve it"
"advance","progress or a development in a particular activity or area of understanding"
"adventure","an unusual, exciting or dangerous experience, journey or series of events"
"agreement","an arrangement, a promise or a contract made with somebody"
"adult","a fully grown person who is legally responsible for their actions"
"adolescent","a young person who is developing from a child into an adult"
"afford","to have enough money to be able to buy or do something"
"air","the mixture of gases that surrounds the earth and that we breathe"
"adviser","a person who gives advice, especially somebody who knows a lot about a particular subject"
"advice","an opinion or a suggestion about what somebody should do in a particular situation"
"advocate","a person who supports or speaks in favour of somebody or of a public plan or action"
"age","the number of years that a person has lived or a thing has existed"
"alliance","an agreement between countries, political parties, etc. to work together in order to achieve something that they all want"
"african-american","a person from America who is a member of a group of people who have dark skin and whose ancestors came from Africa"
"afternoon","the period of time from 12 o'clock in the middle of the day until about 6 o’clock in the evening"
"african","of or connected with Africa"
"after","later than something; following something in time"
"alter","to become different; to make somebody/something different"
