word,definition
"abandoned","left and no longer wanted, used or needed"
"aberdeen","a city and port in north-east Scotland. It is an important fishing port, and was the main centre of the North Sea gas and oil industries. Many of its buildings are made of granite, a hard grey stone, and for this reason it is often called the ‘granite city’."
"ab","starting from the beginning"
"aaa"," (an American organization that provides services for car owners)"
"abc","all the letters of the alphabet, especially as they are learnt by children"
"aa"," (a British organization that provides services for car owners)"
"aaron","a first name for boys"
"abortion","the deliberate ending of a pregnancy at an early stage"
"aboriginal","relating to the original people living in Australia before Europeans arrived"
"ability","the fact that somebody/something is able to do something"
"above","at or to a higher place or position than something/somebody"
"a","used before countable or singular nouns referring to people or things that have not already been mentioned"
"able","having the skill, intelligence, opportunity, etc. needed to do something"
"about","on the subject of somebody/something; in connection with somebody/something"
"abraham","a first name for boys"
"absolute","total and complete"
"absence","the fact of somebody being away from a place where they are usually expected to be; the occasion or period of time when somebody is away"
"abs","the muscles of the abdomen"
"abilities","the fact that somebody/something is able to do something"
"absolutely","used to emphasize that something is completely true"
"absorption","the process of a liquid, gas or other substance being taken in"
"absent","not in a place because of illness, etc."
"abroad","in or to a foreign country"
"ac","air conditioning"
"academy","a school or college for special training"
"abstracts","an abstract work of art"
"acceptance","the act of accepting a gift, an invitation, an offer, etc."
"accepts","to take willingly something that is offered; to say ‘yes’ to an offer, invitation, etc."
"accessing","to open a computer file or use a computer system"
"academic","connected with education, especially studying in schools and universities"
"accent","a way of pronouncing the words of a language that shows which country, area or social class a person comes from; how well somebody pronounces a particular language"
"accident","an unpleasant event, especially in a vehicle, that happens unexpectedly and causes injury or damage"
"accompanied","to travel or go somewhere with somebody/something"
"accepted","generally believed to be correct"
"accessed","to open a computer file or use a computer system"
"academics","a person who teaches and/or does research at a university or college"
"abstract","based on general ideas and not on any particular real person, thing or situation"
"accomplished","very good at a particular thing; having a lot of skills"
"accommodate","to provide somebody with a room or place to sleep, live or sit"
"accountability","the fact of being responsible for your decisions or actions and expected to explain them when you are asked"
"accepting","to take willingly something that is offered; to say ‘yes’ to an offer, invitation, etc."
"accreditation","official approval given by an organization stating that somebody/something has achieved a required standard"
"accessories","an extra piece of equipment that is useful but not essential or that can be added to something else as a decoration"
"access","the opportunity or right to use something or to see somebody/something"
"according","to give somebody/something authority, status or a particular type of treatment"
"accept","to take willingly something that is offered; to say ‘yes’ to an offer, invitation, etc."
"accidents","an unpleasant event, especially in a vehicle, that happens unexpectedly and causes injury or damage"
"accuracy","the state of being exact or correct; the ability to do something with skill and without making mistakes"
"accessibility","how easy something is to reach, enter, use, see, etc."
"accessory","an extra piece of equipment that is useful but not essential or that can be added to something else as a decoration"
"acer","a tree or plant that is often grown for its attractive leaves and bright autumn colours"
"achieved","to succeed in reaching a particular goal, status or standard, especially by making an effort for a long time"
"accommodation","a place to live, work or stay in"
"accomplish","to succeed in doing or completing something"
"acknowledge","to accept that something is true"
"abuse","the use of something in a way that is wrong or harmful"
"accordingly","in a way that is appropriate to what has been done or said in a particular situation"
"accounts","an arrangement that somebody has with a bank, etc. to keep money there, take some out, etc."
"acres","a unit for measuring an area of land; 4 840 square yards or about 4 050 square metres"
"accompanying","provided with something else"
"acquisitions","the act of getting something, especially knowledge, a skill, etc."
"acceptable","agreed or approved of by most people in a society"
"accurate","correct and true in every detail"
"ace","a playing card with a large single symbol on it, which has either the highest or the lowest value in a particular card game"
"accounting","the process or work of keeping financial accounts"
"activated","to make something such as a device or chemical process start working"
"accused","to say that somebody has done something wrong or is guilty of something"
"accessible","that can be reached, entered, used, seen, etc."
"action","the process of doing something in order to make something happen or to deal with a situation"
"achievement","a thing that somebody has done successfully, especially using their own effort and skill"
"acids","a chemical, usually a liquid, that contains hydrogen and has a pH of less than seven. The hydrogen can be replaced by a metal to form a salt.  usually have a bitter sharp taste and can often burn holes in or damage things they touch."
"actors","a person who performs on the stage, on television or in films, especially as a profession"
"acne","a skin condition, common among young people, that produces many pimples , especially on the face and neck"
"achieving","to succeed in reaching a particular goal, status or standard, especially by making an effort for a long time"
"accommodations","a place to live, work or stay in"
"acquisition","the act of getting something, especially knowledge, a skill, etc."
"acid","a chemical, usually a liquid, that contains hydrogen and has a pH of less than seven. The hydrogen can be replaced by a metal to form a salt.  usually have a bitter sharp taste and can often burn holes in or damage things they touch."
"activity","a thing that you do for interest or pleasure"
"acrobat","a person who performs difficult acts such as balancing on high ropes, especially at a circus"
"adam","a first name for boys"
